Code_INSEE;Nom_commune;Code_postal;coordonnees_gps;Population
85289;LA TARDIERE;85120;46.6637, -0.727562;1338
85291;THORIGNY;85480;46.618, -1.24888;1254
85292;THOUARSAIS BOUILDROUX;85410;46.6063, -0.873461;772
85293;TIFFAUGES;85130;47.0021, -1.09858;1645
85297;TRIAIZE;85580;46.3793, -1.19928;1056
85298;VAIRE;85150;46.6055, -1.74864;1661
85299;VELLUIRE;85770;46.3974, -0.885084;689
85303;VIX;85770;46.3543, -0.856628;1826
86001;ADRIERS;86430;46.2646, 0.789659;733
86003;ANCHE;86700;46.3496, 0.270286;356
86004;ANGLES SUR L ANGLIN;86260;46.6987, 0.896254;391
86008;ARCAY;86200;46.952, 0.0033359;378
86011;ASNIERES SUR BLOUR;86430;46.1501, 0.784618;181
86014;AVAILLES EN CHATELLERAULT;86530;46.7562, 0.569776;1809
86016;AVANTON;86170;46.6636, 0.304857;2142
86017;AYRON;86190;46.6441, 0.0454968;1206
86019;BEAUMONT;86490;46.7432, 0.437;3079
86019;BEAUMONT;86490;46.7432, 0.437;3079
86020;BELLEFONDS;86210;46.6505, 0.607845;256
86022;BERRIE;86120;47.0594, -0.0722828;261
86024;BERUGES;86190;46.5556, 0.202564;1406
86025;BETHINES;86310;46.547, 0.976587;482
86032;BONNEUIL MATOURS;86210;46.6796, 0.566087;2172
86041;BUXEROLLES;86180;46.6054, 0.369205;10206
86042;BUXEUIL;37160;46.9692, 0.663281;987
86055;LA CHAPELLE BATON;86250;46.1891, 0.409088;363
86063;CHATAIN;86250;46.0723, 0.437741;261
86070;CHAUVIGNY;86300;46.5546, 0.678622;7223
86072;CHENEVELLES;86450;46.724, 0.674147;479
86078;CIVRAY;86400;46.1412, 0.300987;2805
86086;COUSSAY LES BOIS;86270;46.8131, 0.725467;1011
86093;DERCE;86420;46.9393, 0.208682;161
86098;FLEIX;86300;46.558, 0.747824;139
86107;GOUEX;86320;46.3689, 0.664824;515
86111;INGRANDES;86220;46.874, 0.593092;1798
86113;ITEUIL;86240;46.4848, 0.291607;2952
86117;JOUHET;86500;46.4893, 0.873417;530
